trial,stim1time,stim2time,test1word,test2word,brokenSeq,seqType
1,0.6,0.6,Creamy,Cheese,num_6,0
2,0.6,0.6,Girl,Poor,num_4,1
3,0.6,0.6,Prickly,Pear,num_6,0
4,0.6,0.6,Sea,Wavy,num_4,2
5,0.6,0.6,Late,Bus,num_6,0
6,0.6,0.6,Pushy,Queen,num_6,0
7,0.6,0.6,Pen,Sharp,num_4,1
8,0.6,0.6,Spicy,Mouth,num_6,0
9,0.6,0.6,Shorts,Baggy,num_4,2
10,0.6,0.6,Flaky,Bread,num_6,0
11,0.6,0.6,Chair,Lucky,num_4,1
12,0.6,0.6,Merry,Fly,num_6,0
13,0.6,0.6,Bath,Deep,num_4,2
14,0.6,0.6,Humble,Mayor,num_6,0
15,0.6,0.6,Ruler,Straight,num_4,1
16,0.6,0.6,Water,Fizzy,num_4,2
17,0.6,0.6,Rubber,Hard,num_4,1
18,0.6,0.6,Juicy,Cherry,num_6,0
19,0.6,0.6,Rich,King,num_6,0
20,0.6,0.6,Leg,Shaky,num_4,2
21,0.6,0.6,Bitter,Lemon,num_6,0
22,0.6,0.6,Jolly,Robin,num_6,0
23,0.6,0.6,Early,Sun,num_6,0
24,0.6,0.6,Fruity,Peach,num_6,0
25,0.6,0.6,Kind,Aunt,num_6,0
26,0.6,0.6,Slimy,Worm,num_6,0
27,0.6,0.6,Sour,Lime,num_6,0
28,0.6,0.6,Bright,Star,num_6,0
29,0.6,0.6,Groovy,Piano,num_6,0
30,0.6,0.6,Roomy,Van,num_6,0
31,0.6,0.6,Earth,Rough,num_4,1
32,0.6,0.6,Salmon,Salty,num_4,2
33,0.6,0.6,Seal,Smiley,num_4,1
34,0.6,0.6,Lamp,Square,num_4,2
35,0.6,0.6,Steady,Mountain,num_6,0
36,0.6,0.6,Sweet,Grape,num_6,0
37,0.6,0.6,Chewy,Apple,num_6,0
38,0.6,0.6,Round,Planet,num_6,0
39,0.6,0.6,Snowy,Hill,num_6,0
40,0.6,0.6,Tasty,Pear,num_6,0
41,0.6,0.6,Busy,Taxi,num_6,0
42,0.6,0.6,Sad,Dolphin,num_6,0
43,0.6,0.6,Gold,Cup,num_6,0
44,0.6,0.6,Light,Fork,num_6,0
45,0.6,0.6,Bike,Purple,num_4,1
46,0.6,0.6,Clock,Fragile,num_4,2
47,0.6,0.6,Bed,Itchy,num_4,1
48,0.6,0.6,Crab,Mean,num_4,2
49,0.6,0.6,Frog,Vile,num_4,1
50,0.6,0.6,Scooter,Silver,num_4,2
51,0.6,0.6,Glass,Smooth,num_4,1
52,0.6,0.6,Heart,Tender,num_4,2
53,0.6,0.6,Pigeon,Naughty,num_4,1
54,0.6,0.6,Toe,Weak,num_4,2
55,0.6,0.6,Park,Flat,num_4,1
56,0.6,0.6,Sand,Hot,num_4,2
57,0.6,0.6,Whale,Vicious,num_4,1
58,0.6,0.6,Pillow,Cheap,num_4,2
59,0.6,0.6,Train,Slow,num_4,1
60,0.6,0.6,Knife,Strong,num_4,2
